"","name","fy","fp","AccountsPayableCurrent","AccountsReceivableNetCurrent","AccumulatedOtherComprehensiveIncomeLossNetOfTax","CashAndCashEquivalentsAtCarryingValue","CommonStockParOrStatedValuePerShare","CommonStockSharesAuthorized","CommonStockSharesIssued","CommonStockSharesOutstanding","ComprehensiveIncomeNetOfTax","DepreciationAndAmortization","DepreciationDepletionAndAmortization","NetIncomeLoss","OperatingIncomeLoss","PropertyPlantAndEquipmentNet","RetainedEarningsAccumulatedDeficit","WeightedAverageNumberOfSharesOutstandingBasic"
"4791","SANMINA CORP","2015","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73624500,NA,NA,NA,NA,NA
"4792","SANMINA CORP","2016","Q3",NA,NA,NA,NA,NA,NA,NA,NA,50472250,NA,NA,NA,NA,NA,NA,78321500
"4793","SANMINA CORP","2017","Q1",1146182500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56354500,NA,NA,75737500
"4794","SANMINA CORP","2017","Q2",1147672000,NA,NA,NA,NA,NA,NA,NA,51619250,NA,NA,NA,NA,NA,NA,75249750
"4795","SANMINA CORP","2017","Q3",1188608000,NA,NA,413915250,NA,NA,NA,NA,NA,NA,NA,66489000,NA,630188500,NA,NA
"4796","SANMINA CORP","2018","Q2",1252084000,NA,77029500,410688250,NA,NA,NA,NA,2098750,NA,58875500,NA,NA,NA,NA,NA
"4797","SANMINA CORP","2019","Q1",1539663000,NA,NA,NA,NA,NA,NA,NA,-60492000,NA,29707500,NA,NA,NA,NA,69954000
"4798","SANMINA CORP","2019","Q2",NA,NA,NA,409240000,NA,NA,NA,NA,NA,NA,NA,NA,86277250,641407000,NA,NA
"4799","SANMINA CORP","2019","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25581750,NA,NA,NA,69411000
"4800","SATUSA CORP","2019","Q2",NA,NA,NA,24724.5,1e-04,7.5e+07,12400000,12400000,NA,NA,NA,NA,NA,NA,NA,NA
"4801","SAUER ENERGY, INC.","2012","Q1",6091,NA,NA,88120.4,NA,NA,NA,76858592.5,NA,NA,NA,NA,NA,75771.5,NA,74224956
"4802","SAUER ENERGY, INC.","2012","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74154.5,NA,NA
"4803","SAUER ENERGY, INC.","2012","Q3",6789,NA,NA,NA,1e-04,6.5e+08,80450427.5,80450427.5,NA,NA,NA,NA,NA,NA,-2066699.5,75547657.5
"4804","SAUER ENERGY, INC.","2013","Q1",NA,NA,NA,NA,NA,6.5e+08,85353026.6,85353026.6,NA,NA,NA,NA,NA,NA,NA,NA
"4805","SAUER ENERGY, INC.","2013","Q2",7487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84242,NA,90086051
"4806","SAUER ENERGY, INC.","2014","Q1",NA,NA,NA,NA,1e-04,6.5e+08,95000611.5,NA,-1770806.33333333,NA,NA,NA,NA,NA,NA,NA
"4807","SAUER ENERGY, INC.","2014","Q3",NA,NA,NA,144912,NA,NA,NA,NA,-1946450.6,NA,NA,NA,-1280741,NA,NA,NA
"4808","SAUER ENERGY, INC.","2016","Q1",NA,NA,NA,NA,NA,NA,NA,NA,-759033.5,NA,NA,NA,NA,NA,NA,NA
"4809","SAUER ENERGY, INC.","2016","Q3",NA,NA,NA,113760,1e-04,NA,NA,177381096,-959675.666666667,NA,NA,NA,NA,NA,NA,147966119.166667
"4810","SAUER ENERGY, INC.","2017","Q2",NA,NA,NA,41111.25,1e-04,NA,NA,268557938.4,-542354.7,NA,NA,NA,NA,NA,-9989126,215750515.8
"4811","SAUER ENERGY, INC.","2018","Q1",NA,NA,NA,NA,NA,NA,NA,326865643.5,NA,NA,NA,-369995.5,-233239,47304.3333333333,-11663338.5,324630445.5
"4812","SAUER ENERGY, INC.","2018","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43725.4,-11459908.4,NA
"4813","SAVVY BUSINESS SUPPORT INC","2012","Q2",NA,NA,NA,1130.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4814","SAVVY BUSINESS SUPPORT INC","2013","Q1",NA,NA,NA,NA,1e-04,5.5e+07,3705000,3705000,NA,NA,NA,NA,NA,NA,NA,NA
"4815","SCHNITZER STEEL INDUSTRIES INC","2011","Q2",105831500,143585500,-638000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,972484500,27732500
"4816","SCHNITZER STEEL INDUSTRIES INC","2012","Q1",NA,219725000,-1834000,NA,NA,NA,NA,NA,NA,NA,NA,12406000,NA,554058500,NA,27507000
"4817","SCHNITZER STEEL INDUSTRIES INC","2012","Q2",128213000,220029000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,554067500,NA,27552750
"4818","SCHNITZER STEEL INDUSTRIES INC","2013","Q1",106169000,NA,NA,NA,NA,NA,NA,NA,NA,NA,20622500,2673500,NA,NA,NA,NA
"4819","SCHNITZER STEEL INDUSTRIES INC","2013","Q2",105670500,NA,-6233000,56396250,NA,NA,NA,NA,7699500,NA,41282000,NA,18734000,565537500,NA,27056500
"4820","SCHNITZER STEEL INDUSTRIES INC","2014","Q1",NA,NA,-9724000,NA,NA,NA,NA,NA,-4832500,NA,NA,-3949500,NA,NA,NA,NA
"4821","SCHNITZER STEEL INDUSTRIES INC","2015","Q1",NA,172478000,NA,20938250,NA,NA,NA,NA,NA,NA,NA,NA,-1773500,NA,NA,NA
"4822","SCHNITZER STEEL INDUSTRIES INC","2015","Q2",88796000,150780500,NA,16789250,NA,NA,NA,NA,-111937000,NA,38959000,NA,NA,NA,NA,NA
"4823","SCHNITZER STEEL INDUSTRIES INC","2017","Q1",63653000,113308500,-40664500,19149750,NA,NA,NA,NA,NA,NA,13685500,-3311000,-1720500,389285000,476865000,27246500
"4824","SCHNITZER STEEL INDUSTRIES INC","2017","Q2",65540000,123371000,NA,NA,NA,NA,NA,NA,NA,NA,27047000,NA,NA,NA,NA,NA
"4825","SCHNITZER STEEL INDUSTRIES INC","2018","Q2",100631000,NA,-36161000,NA,NA,NA,NA,NA,29710000,NA,24911500,NA,NA,NA,NA,NA
"4826","SCHNITZER STEEL INDUSTRIES INC","2019","Q1",119365000,176500000,NA,NA,NA,NA,NA,NA,15881500,NA,12909500,NA,NA,NA,645189500,27600000
"4827","SCHNITZER STEEL INDUSTRIES, INC.","2019","Q2",NA,NA,NA,10047500,NA,NA,NA,NA,NA,NA,NA,NA,NA,422244000,NA,NA
"4828","SCHOOL SPECIALTY INC","2015","Q3",53491666.6666667,109890000,NA,NA,NA,NA,NA,NA,12880000,NA,NA,NA,18283500,33557333.3333333,-31182333.3333333,NA
"4829","SCHULMAN A INC","2013","Q1",258121500,314049500,NA,123151750,1,7.5e+07,47966000,NA,NA,NA,NA,12680500,NA,NA,NA,NA
"4830","SCHULMAN A INC","2013","Q2",250311000,NA,-519500,113810000,1,7.5e+07,48020500,NA,16199250,NA,NA,NA,20634750,225571500,NA,29329500
"4831","SCIVANTA MEDICAL CORP","2012","Q1",212505.5,NA,NA,78613,NA,NA,NA,30840728,NA,NA,NA,NA,NA,NA,NA,NA
"4832","SCIVANTA MEDICAL CORP","2012","Q2",213663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4833","SCIVANTA MEDICAL CORP","2012","Q3",NA,NA,NA,NA,0.001,1e+08,30840728,30840728,NA,NA,NA,NA,-254231,NA,-23241566.5,NA
"4834","SCIVANTA MEDICAL CORP","2013","Q1",NA,NA,NA,72475.5,0.001,1e+08,38217876,38217876,NA,NA,NA,NA,NA,NA,NA,NA
"4835","SCIVANTA MEDICAL CORP","2013","Q2",247873,NA,NA,NA,0.001,2.55e+08,4270537.5,4270537.5,NA,NA,NA,NA,-125230.5,NA,NA,NA
"4836","SCIVANTA MEDICAL CORP","2016","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19030,NA,-24450008.5,NA
"4837","SCOTTS MIRACLE-GRO CO","2010","Q3",NA,NA,-66466666.6666667,NA,0.01,NA,66266666.6666667,66266666.6666667,NA,NA,NA,NA,NA,NA,NA,NA
"4838","SCOTTS MIRACLE-GRO CO","2011","Q2",269800000,803133333.333333,-67366666.6666667,NA,0.01,NA,66466666.6666667,66466666.6666667,NA,NA,NA,NA,NA,NA,484766666.666667,66025000
"4839","SCOTTS MIRACLE-GRO CO","2011","Q3",NA,NA,-73666666.6666667,66783333.3333333,NA,NA,NA,65800000,183225000,NA,NA,NA,203966666.666667,252222222.222222,NA,65700000
"4840","SCOTTS MIRACLE-GRO CO","2012","Q1",NA,156266666.666667,NA,70933333.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,261600000,NA,63600000
"4841","SCOTTS MIRACLE-GRO CO","2012","Q2",114933333.333333,315306666.666667,NA,47010000,NA,NA,NA,NA,NA,NA,NA,NA,NA,157146666.666667,NA,63350000
"4842","SCOTTS MIRACLE-GRO CO","2012","Q3",86880000,204546666.666667,-75266666.6666667,NA,NA,NA,61900000,61900000,143600000,NA,NA,NA,NA,156893333.333333,653600000,NA
"4843","SCOTTS MIRACLE-GRO CO","2013","Q1",85876923.0769231,102430769.230769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4844","SCOTTS MIRACLE-GRO CO","2014","Q2",134616666.666667,277900000,-80266666.6666667,64187500,NA,NA,NA,NA,65593750,NA,NA,NA,74537500,213950000,678033333.333333,61750000
"4845","SCOTTS MIRACLE-GRO CO","2015","Q1",107350000,94600000,-83333333.3333333,59225000,0.01,NA,NA,NA,-69650000,NA,NA,-52940000,-48862500,219816666.666667,593900000,NA
"4846","SCOTTS MIRACLE-GRO CO","2015","Q2",139366666.666667,275500000,NA,53325000,NA,NA,NA,NA,8.5e+07,NA,NA,NA,NA,NA,NA,NA
"4847","SCOTTS MIRACLE-GRO CO","2016","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-103100000,445766666.666667,597500000,NA
"4848","SCOTTS MIRACLE-GRO CO","2016","Q2",260466666.666667,593666666.666667,-103600000,68200000,0.01,NA,61233333.3333333,NA,NA,NA,NA,NA,249250000,NA,NA,NA
"4849","SCOTTS MIRACLE-GRO CO","2017","Q2",NA,757466666.666667,NA,NA,NA,NA,NA,60366666.6666667,NA,NA,NA,NA,NA,NA,853066666.666667,60650000
"4850","SCOTTS MIRACLE-GRO CO","2017","Q3",NA,343466666.666667,NA,79450000,NA,NA,NA,NA,NA,NA,NA,239675000,NA,460400000,954500000,NA
"4851","SCOTTS MIRACLE-GRO CO","2018","Q1",NA,NA,-84833333.3333333,69175000,NA,NA,NA,NA,NA,NA,NA,NA,-66850000,456600000,NA,NA
"4852","SCOTTS MIRACLE-GRO CO","2018","Q3",NA,NA,NA,NA,0.01,NA,NA,NA,180375000,NA,NA,174325000,306850000,473933333.333333,1039600000,57700000
"4853","SCOTTS MIRACLE-GRO CO","2019","Q1",203566666.666667,172733333.333333,NA,NA,0.01,NA,NA,55933333.3333333,-56100000,NA,NA,NA,NA,NA,893733333.333333,56450000
"4854","SCOTTS MIRACLE-GRO CO","2019","Q2",NA,NA,NA,34800000,0.01,NA,NA,55433333.3333333,NA,NA,NA,NA,NA,502766666.666667,NA,NA
"4855","SCOTTS MIRACLE-GRO CO","2019","Q3",NA,NA,NA,33300000,NA,NA,NA,NA,NA,NA,NA,253475000,NA,NA,NA,55700000
"4856","SCOTTS MIRACLE-GRO CO","2020","Q2",279200000,639400000,-93666666.6666667,29033333.3333333,0.01,NA,NA,55566666.6666667,NA,NA,NA,286600000,285100000,NA,NA,NA
"4857","SCOUT EXPLORATION, INC","2013","Q1",NA,NA,NA,NA,0.001,5e+07,15991356,15991356,NA,NA,NA,NA,NA,NA,NA,NA
"4858","SEALY CORP","2012","Q1",NA,NA,NA,104386000,NA,NA,NA,NA,NA,NA,NA,167000,22789000,165501500,-1015959000,99367000
"4859","SEALY CORP","2012","Q2",NA,138879500,NA,94430750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4860","SECUREALERT, INC.","2011","Q1",2042980.5,NA,NA,NA,1e-04,6e+08,NA,299565353.5,NA,NA,NA,-3765703.5,-2803905,NA,NA,NA
"4861","SECUREALERT, INC.","2011","Q2",1111823.66666667,NA,NA,1516827,1e-04,6e+08,NA,340208653,NA,NA,NA,-4839438.25,NA,1473613,-221439841.5,273219000
"4862","SECUREALERT, INC.","2011","Q3",NA,NA,NA,1068587,NA,NA,NA,349868802,NA,NA,1143571.5,NA,-4457751.75,1432320,NA,299184250
"4863","SECUREALERT, INC.","2012","Q1",NA,NA,NA,1138006.5,NA,NA,NA,NA,NA,NA,NA,-1839265.5,-1652161,1066882,-229864929.5,400430500
"4864","SECUREALERT, INC.","2012","Q2",NA,NA,NA,969564.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4865","SECUREALERT, INC.","2013","Q1",NA,NA,NA,1069481.25,1e-04,1.25e+09,NA,NA,NA,NA,533773.5,NA,NA,NA,NA,NA
"4866","SECUREALERT, INC.","2013","Q2",1279673,NA,NA,1313172.75,1e-04,1.5e+07,NA,4478520,NA,NA,-1158268,NA,-1063421.75,449375.5,NA,NA
"4867","SECUREALERT, INC.","2014","Q2",546338.5,NA,145972,3477522.5,NA,NA,NA,9935912,NA,NA,-1131811,-1853729,NA,455071,-267710493,NA
"4868","SEEN ON SCREEN TV INC.","2014","Q2",NA,NA,NA,3128.33333333333,NA,NA,NA,NA,NA,NA,NA,-322030.75,NA,NA,-36367773,46050451.5
"4869","SERVICE TEAM INC.","2012","Q2",7362,4760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4870","SERVICE TEAM INC.","2012","Q3",6928,5089,NA,NA,NA,7.4e+07,6733250,6733250,NA,NA,NA,NA,NA,NA,NA,NA
"4871","SERVICE TEAM INC.","2013","Q1",6722,NA,NA,NA,0.001,7.4e+07,7707500,7707500,NA,NA,NA,-206681.666666667,NA,NA,NA,NA
"4872","SERVICE TEAM INC.","2013","Q2",3361,NA,NA,19624.2,NA,7.4e+07,7707500,7707500,NA,NA,NA,NA,-215745.6,NA,NA,NA
"4873","SERVICE TEAM INC.","2014","Q2",122957,106910,NA,58305,NA,NA,NA,12408980.5,NA,NA,NA,-61910.75,NA,NA,-1227574.5,NA
"4874","SERVICE TEAM INC.","2014","Q3",143655.5,NA,NA,45494,NA,7.4e+07,12436480.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4875","SERVICE TEAM INC.","2015","Q3",NA,NA,NA,NA,0.001,7.4e+07,12505647,12505647,NA,745.5,NA,NA,NA,NA,NA,NA
"4876","SERVICE TEAM INC.","2016","Q1",116993,NA,NA,14243.75,NA,NA,13430624,NA,NA,NA,NA,NA,NA,NA,-1689758,NA
"4877","SERVICE TEAM INC.","2017","Q3",140285,NA,NA,108015.25,0.001,NA,NA,NA,NA,NA,NA,NA,NA,51053,-2384266.5,NA
"4878","SERVICE TEAM INC.","2018","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10528,159666,NA,NA
"4879","SERVICE TEAM INC.","2019","Q2",NA,NA,NA,NA,0.001,2e+10,8852873544,8852873544,NA,NA,NA,NA,NA,168445,NA,NA
"4880","SERVICE TEAM INC.","2019","Q3",NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,-72880.25,NA,NA,NA,8225110453.5
"4881","SEVCON, INC.","2012","Q2",4353500,6137500,NA,1249500,NA,NA,NA,NA,1170000,NA,NA,NA,NA,NA,NA,NA
"4882","SEVCON, INC.","2013","Q1",NA,NA,NA,1553750,0.1,8e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4883","SEVCON, INC.","2013","Q2",3088000,NA,-8911000,1726500,0.1,8e+06,NA,3476747.5,178000,NA,NA,NA,-117250,2080000,NA,NA
"4884","SEVCON, INC.","2014","Q2",3978500,6792000,NA,1834250,NA,NA,NA,NA,NA,NA,NA,-91500,-252250,NA,NA,NA
"4885","SEVCON, INC.","2014","Q3",NA,6967000,NA,NA,0.1,8e+06,NA,3524576.5,NA,NA,NA,25500,NA,NA,NA,3380250
"4886","SEVCON, INC.","2015","Q2",4383000,NA,-9076000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4887","SEVCON, INC.","2016","Q1",NA,8438000,NA,8546000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10659500,NA
"4888","SEVCON, INC.","2016","Q2",7013500,9460500,-10270666.6666667,8664250,0.1,NA,NA,NA,NA,NA,NA,NA,-383000,NA,NA,NA
"4889","SEVCON, INC.","2016","Q3",NA,NA,NA,8026750,NA,NA,NA,3956605.5,-667000,NA,NA,NA,NA,NA,NA,3710750
"4890","SEVILLE VENTURES CORP","2013","Q1",NA,NA,NA,NA,0.001,2.5e+08,5642870,5642870,NA,NA,NA,-41134,NA,NA,NA,NA
"4891","SEVILLE VENTURES CORP","2013","Q2",NA,NA,NA,NA,NA,2.5e+08,5642870,5642870,NA,NA,NA,NA,NA,NA,NA,NA
"4892","SEVILLE VENTURES CORP","2014","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-44507,NA,NA,NA,NA
"4893","SHAW GROUP INC","2011","Q2",798323500,NA,-130522000,NA,0,2e+08,91150530,84774843.5,NA,NA,NA,NA,NA,NA,496067500,84457500
"4894","SHAW GROUP INC","2012","Q3",740917500,NA,-109551333.333333,599037250,NA,NA,NA,NA,NA,55245500,NA,-21249250,NA,512441000,416204000,NA
"4895","SHEA HOMES LIMITED PARTNERSHIP","2012","Q3",NA,NA,6793000,85229300,NA,NA,NA,NA,NA,3905000,NA,-23511200,NA,789000,2717200,NA
"4896","SHEPHERDS FINANCE, LLC	6153	US	FL	JACKSONVILLE	32223	12276 SAN JOSE BLVD, SUITE 108		9045033989	US	FL	JACKSONVILLE	32223	12276 SAN JOSE BLVD, SUITE 108		US	PA	364608739			5-SML	0	1231	10-Q	20170630	2017	Q2	20170803	2017-08-03 13:40:00.0	0	1	sheph-20170630.xml	1	
0001493152-17-008449	793524	RESEARCH FRONTIERS INC	6794	US	NY	WOODBURY	11797-2033	240 CROSSWAYS PARK DR		5163641902	US	NY	WOODBURY	11797-2033	240 CROSSWAYS PARK DR		US	DE	112103466			5-SML	0	1231	10-Q	20170630	2017	Q2	20170803	2017-08-03 16:01:00.0	0	1	refr-20170630.xml	1	
0001493152-17-008452	752642	UMH PROPERTIES, INC.	6798	US	NJ	FREEHOLD	07728	3499 ROUTE 9 N, SUITE 3-C	JUNIPER BUSINESS PLAZA	7325779997	US	NJ	FREEHOLD	07728	3499 ROUTE 9 N, SUITE 3-C	JUNIPER BUSINESS PLAZA	US	MD	221890929	UNITED MOBILE HOMES INC	19920703	2-ACC	0	1231	10-Q	20170630	2017	Q2	20170803	2017-08-03 16:12:00.0	0	1	umh-20170630.xml	1	
0001493152-17-008463	1582982	MEDICAL TRANSCRIPTION BILLING, CORP	7372	US	NJ	SOMERSET	08873	7 CLYDE ROAD	SOMERSET	7328735133	US	NJ	SOMERSET	08873	7 CLYDE ROAD	SOMERSET	US	DE	223832302			5-SML	0	1231	10-Q	20170630	2017	Q2	20170803	2017-08-03 16:32:00.0	0	1	mtbc-20170630.xml	1	
0001493152-17-008508	1442711	CYCLONE POWER TECHNOLOGIES INC	3621	US	FL	POMPANO BEACH	33064	601 NE 26TH COURT		954-943-8721	US	FL	POMPANO BEACH	33064	601 NE 26TH COURT		US	FL	000000000			5-SML	0	1231	10-Q	20170331	2017	Q1	20170804	2017-08-03 20:14:00.0	1	1	cypw-20170331.xml	1	
0001493152-17-008520	1335105	LIXTE BIOTECHNOLOGY HOLDINGS, INC.	2834	US	NY	EAST SETAUKET	11733	248 ROUTE 25A	NO. 2	310 203 2902	US	NY	EAST SETAUKET	11733	248 ROUTE 25A	NO. 2	US	DE	202903526	SRKP 7 INC	20050803	5-SML	0	1231	10-Q	20170630	2017	Q2	20170804	2017-08-04 08:31:00.0	0	1	lixt-20170630.xml	1	
0001493152-17-008529	1533106	GLOBAL EQUITY INTERNATIONAL INC	8742	AE		DUBAI	340100	OFFICE 3305, JUMEIRAH BAY TOWER X3	PO BOX 454332, JUMEIRAH LAKE TOWERS	(971) 42 76	AE		DUBAI	340100	OFFICE 3305, JUMEIRAH BAY TOWER X3	PO BOX 454332, JUMEIRAH LAKE TOWERS	US	NV	273986073			5-SML	0	1231	10-Q	20170630	2017	Q2	20170804	2017-08-04 12:30:00.0	0	1	gequ-20170630.xml	1	
0001493152-17-008543	748592	NTN BUZZTIME INC	4833	US	CA	CARLSBAD	92008	2231 RUTHERFORD ROAD		7604387400	US	CA	CARLSBAD	92008	2231 RUTHERFORD ROAD		US	DE	311103425	NTN COMMUNICATIONS INC	19920703	5-SML	0	1231	10-Q	20170630	2017	Q2	20170804	2017-08-04 16:17:00.0	0	1	ntn-20170630.xml	1	
0001493152-17-008570	1685616	OXYGEN THERAPY, INC.	2834	US	MA	NEWTON	02464	233 NEEDHAM STREET	SUITE 300	617-454-1199	US	MA	NEWTON	02464	233 NEEDHAM STREET	SUITE 300	US	DE	812723728			5-SML	0	1231	10-Q	20170630	2017	Q2	20170807	2017-08-07 06:17:00.0	0	1	oti-20170630.xml	1	
0001493152-17-008571	1460702	RITTER PHARMACEUTICALS INC	2834	US	CA	LOS ANGELES	90067	1880 CENTURY PARK EAST, SUITE 1000		310-203-1000	US	CA	LOS ANGELES	90067	1880 CENTURY PARK EAST, SUITE 1000		US	DE	263474527			5-SML	0	1231	10-Q	20170630	2017	Q2	20170807	2017-08-07 06:17:00.0	0	1	rttr-20170630.xml	1	
0001493152-17-008580	1317945	OMEGA FLEX, INC.	3430	US	PA	EXTON	19341	451 CREAMERY WAY		610-524-7272	US	PA	EXTON	19341	451 CREAMERY WAY		US	PA	231948942			2-ACC	0	1231	10-Q	20170630	2017	Q2	20170807	2017-08-07 11:01:00.0	0	1	oflx-20170630.xml	1	
0001493152-17-008582	1142790	TAURIGA SCIENCES, INC.	2833	US	CT	DANBURY	06180	39 OLD RIDGEBURY ROAD		917-796-9926	US	CT	DANBURY	06180	39 OLD RIDGEBURY ROAD		US	FL	651102237	IMMUNOVATIVE, INC.	20120503	5-SML	0	0331	10-Q	20170630	2017	Q1	20170807	2017-08-07 11:55:00.0	0	1	taug-20170630.xml	1	
0001493152-17-008589	1205181	IMAGING3 INC	3844	US	CA	BURBANK	91505	3200 W. VALHALLA DRIVE		8182600930	US	CA	BURBANK	91505	3200 W. VALHALLA DRIVE		US	CA	954451059			5-SML	0	1231	10-Q/A	20170630	2017	Q2	20170807	2017-08-07 15:12:00.0	0	1	imggq-20170630.xml	1	
0001493152-17-008653	1196298	NEPHROS INC	3841	US	NJ	RIVER EDGE,	07661	41 GRAND AVENUE		201.343.5202	US	NJ	RIVER EDGE,	07661	41 GRAND AVENUE		US	DE	133971809			5-SML	0	1231	10-Q	20170630	2017	Q2	20170808	2017-08-08 16:07:00.0	0	1	neph-20170630.xml	1	
0001493152-17-008654	946454	BALLANTYNE STRONG, INC.	3861	US	NE	OMAHA	68112	4350 MCKINLEY ST		4024534444	US	NE	OMAHA	68112	4350 MCKINLEY ST		US	DE	470587703	BALLANTYNE OF OMAHA INC	19950608	2-ACC	0	1231	10-Q	20170630	2017	Q2	20170808	2017-08-08 16:17:00.0	0	1	btn-20170630.xml	1	
0001493152-17-008668	1412486	COCRYSTAL PHARMA, INC.	2834	US	GA	TUCKER	30084	1860 MONTREAL ROAD		(425) 398-71	US	GA	TUCKER	30084	1860 MONTREAL ROAD		US	DE	352528215	BIOZONE PHARMACEUTICALS, INC.	20110304	2-ACC	0	1231	10-Q	20170630	2017	Q2	20170808	2017-08-08 16:31:00.0	0	1	cocp-20170630.xml	1	
0001493152-17-008672	1433607	INSPIREMD, INC.	3841	IL		TEL AVIV	6744832	4 MENORAT HAMAOR ST.		(888) 776-68	IL		TEL AVIV	6744832	4 MENORAT HAMAOR ST.		US	DE	262123838	SAGUARO RESOURCES, INC.	20080428	5-SML	0	1231	10-Q	20170630	2017	Q2	20170808	2017-08-08 16:38:00.0	0	1	nspr-20170630.xml	1	
0001493152-17-008676	1419554	BONE BIOLOGICS CORP	3842	US	MA	BURLINGTON	01803	2 BURLINGTON WOODS DRIVE,	SUITE 100,	(781) 552-44	US	MA	BURLINGTON	01803	2 BURLINGTON WOODS DRIVE,	SUITE 100,	US	DE	421743430	BONE BIOLOGICS, CORP.	20140924	5-SML	0	1231	10-Q	20170630	2017	Q2	20170808	2017-08-08 17:07:00.0	0	1	bblg-20170630.xml	1	
0001493152-17-008699	1538329	UBIQUITY, INC.	7374	US	CA	IRVINE,	92618	9801 RESEARCH DRIVE		7029970504	US	CA	IRVINE,	92618	9801 RESEARCH DRIVE		US	NV	990371375	UBIQUITY BROADCASTING CORP	20130306	5-SML	0	1231	10-Q	20160630	2016	Q2	20170809	2017-08-09 06:17:00.0	0	1	ubiq-20160630.xml	1	
0001493152-17-008710	1534708	EASTSIDE DISTILLING, INC.	2080	US	OR	PORTLAND	97222	2150 SE HANNA HARVESTER DRIVE		971-888-4264	US	OR	PORTLAND	97222	2150 SE HANNA HARVESTER DRIVE		US	NV	203937596	EUROCAN HOLDINGS LTD.	20111110	5-SML	0	1231	S-1/A	20170331	2017	Q1	20170809	2017-08-09 08:33:00.0	0	1	esdi-20170331.xml	1	
0001493152-17-008712	1595097	CORBUS PHARMACEUTICALS HOLDINGS, INC.	2834	US	MA	NORWOOD	02062	100 RIVER RIDGE DRIVE		617-963-0103	US	MA	NORWOOD	02062	100 RIVER RIDGE DRIVE		US	DE	464348039	SAV ACQUISITION CORP	20131220	2-ACC	0	1231	10-Q	20170630	2017	Q2	20170809	2017-08-09 09:02:00.0	0	1	crbp-20170630.xml	1	
0001493152-17-008722	933738	ENGLOBAL CORP	8711	US	TX	HOUSTON	77060-5914	654 N. SAM HOUSTON PKWY E	SUITE 400	281-878-1000	US	TX	HOUSTON	77060-5914	654 N. SAM HOUSTON PKWY E	SUITE 400	US	NV	880322261	INDUSTRIAL DATA SYSTEMS CORP	19970123	5-SML	0	1231	10-Q	20170630	2017	Q2	20170809	2017-08-09 11:09:00.0	0	1	eng-20170701.xml	1	
0001493152-17-008731	1685311	BAGGER DAVES BURGER TAVERN, INC.","2017","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194750,NA,360500,NA,NA
"4897","SHFL ENTERTAINMENT INC.","2013","Q1",6269000,41028500,NA,26843000,0.01,151368000,56086000,NA,NA,NA,6452500,7356500,NA,NA,NA,NA
"4898","SHFL ENTERTAINMENT INC.","2013","Q3",NA,NA,23675000,NA,NA,NA,NA,NA,8688750,NA,NA,NA,NA,NA,NA,NA
"4899","SHIFTPIXY, INC.","2018","Q1",1466896,449989.5,NA,NA,NA,NA,NA,28781140,NA,17010,NA,-1481559,NA,NA,-11070835.5,27490825
"4900","SHIFTPIXY, INC.","2018","Q2",1260200.5,310350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,674983,-12430277,NA
"4901","SHIFTPIXY, INC.","2019","Q2",NA,NA,NA,NA,1e-04,7.5e+08,30484556.5,30484556.5,NA,NA,NA,NA,-3630646.25,NA,NA,NA
"4902","SHIFTPIXY, INC.","2020","Q1",NA,NA,NA,1876800,NA,NA,845129.666666667,NA,NA,NA,NA,NA,-6217750,NA,NA,NA
"4903","SHIFTPIXY, INC.","2020","Q2",NA,641500,NA,979000,1e-04,7.5e+08,1005345,NA,NA,322250,NA,2451750,-5764000,NA,NA,NA
