name,fy,fp,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,CashAndCashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,ComprehensiveIncomeNetOfTax,DepreciationAndAmortization,DepreciationDepletionAndAmortization,NetIncomeLoss,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,WeightedAverageNumberOfSharesOutstandingBasic
ERHC ENERGY INC,2016,Q2,,,-1039888.5,1422594.25,1.00E-04,,33934674,,,28400.5,37873,,,,,
ERHC ENERGY INC,2016,Q3,,,,1269652,,,,36680852.5,-3241541.25,,,,,,,
ESCO TECHNOLOGIES INC,2012,Q2,,140254000,,30085250,,,,,16550000,,,,,,,
ESCO TECHNOLOGIES INC,2013,Q1,,,,31622000,0.01,5.00E+07,30078613.5,,,,6243000,,,,,
ESCO TECHNOLOGIES INC,2013,Q2,,146102500,-25838000,,0.01,5.00E+07,30095845,,6685250,,13061500,,,78287500,,26568000
ESCO TECHNOLOGIES INC,2013,Q3,,,-25858000,,,,,,12056250,,,,,,,
ESCO TECHNOLOGIES INC,2014,Q1,,,-16369000,,0.01,5.00E+07,30170825,,6437500,,,,,,,
ESCO TECHNOLOGIES INC,2014,Q2,35314500,91824000,-16157000,36326750,,,,,-13520750,,7876500,-13200250,,75096000,394145500,26464500
ESCO TECHNOLOGIES INC,2014,Q3,,92072500,,,0.01,5.00E+07,30197508,,,,11881000,3072750,,,,26474750
ESCO TECHNOLOGIES INC,2016,Q1,33719000,101899500,,38244000,,,30358864,,7657000,,,,,,437013500,
ESCO TECHNOLOGIES INC,2016,Q2,,,-32397500,37005000,,,30358864,,10771250,,10068000,,,,,
ESCO TECHNOLOGIES INC,2017,Q3,,,,45574750,,,,,,,,21917250,,111412000,485441500,
ESCO TECHNOLOGIES INC,2018,Q1,,,-26655500,48174000,,,,,,,,,,132769000,,
ESCO TECHNOLOGIES INC,2019,Q1,58714000,155204000,,,0.01,5.00E+07,30534786,,24369500,,9365000,,,,617253500,25873500
ESCO TECHNOLOGIES INC,2019,Q2,,,,,0.01,5.00E+07,30584264,,,,,,,133880000,,
ESCO TECHNOLOGIES INC,2019,Q3,,,,34716500,0.01,,,,,,,39737750,,,,25917000
ESCO TECHNOLOGIES INC,2020,Q2,58708500,157882500,-45455000,81001500,0.01,5.00E+07,30596940,,,,,44333000,,,,
"ESSA BANCORP, INC.",2012,Q1,,,,22248500,,,,,,,,949000,,11482000,67385000,
"ESSA BANCORP, INC.",2012,Q3,,,416500,,0.01,4.00E+07,16980900,12093667.5,2784000,,778000,,,,67562500,11173016.25
"ESSA BANCORP, INC.",2013,Q2,,,385500,26067250,0.01,4.00E+07,18133095,12909803.5,1226500,,526000,,,16093500,,
"ESSA BANCORP, INC.",2014,Q1,,,-216000,19233000,0.01,4.00E+07,18133095,,1486500,,,2441500,,,,
"ESSA BANCORP, INC.",2016,Q2,,,-1827166.667,,0.01,,18133095,,,,758500,,,,,
"ESSA BANCORP, INC.",2016,Q3,,,,,,,,11368982,,,,,,,,10426257.25
"ESSA BANCORP, INC.",2019,Q2,,,,,0.01,4.00E+07,18133095,11595826.5,,,,,,14462000,,
"ESSENSE WATER, INC.",2012,Q2,,,,833,,,,,,,,,,,,
"ESSENSE WATER, INC.",2013,Q1,,,,,,7.50E+07,1.20E+07,,,,,,,,,
"ESSENSE WATER, INC.",2013,Q2,,,-37755.5,,,7.50E+07,12065000,1.20E+07,,,,,,,,12002703.25
"ESSENSE WATER, INC.",2014,Q2,,,,529.2,,,,,,,,-12816.2,-12816.2,,,
"ESSENSE WATER, INC.",2016,Q1,,,-67371.5,,,,,,,,,,,,,
"ESSENSE WATER, INC.",2016,Q3,,,,44.25,,,,,,,,,,,,
"ESSENSE WATER, INC.",2017,Q1,,,,,,7.50E+07,12400000,,,,,,1462,,,
"ESSENSE WATER, INC.",2017,Q2,,4562.5,,227.5,,,,,,,,,,,,
ESSENTIAL INNOVATIONS TECHNOLOGY CORP,2013,Q1,,,,,0.001,5.00E+08,17332445,17332445,,,,,,,,
ESSENTIAL INNOVATIONS TECHNOLOGY CORP,2013,Q2,351805.5,,,,0.001,5.00E+08,17332445,17332445,,,,-632461.8,-649375.4,,-1849309,
ESSENTIAL INNOVATIONS TECHNOLOGY CORP,2014,Q1,,,,,0.001,5.00E+08,23452445,,,,,,,,,
ESSENTIAL INNOVATIONS TECHNOLOGY CORP,2014,Q2,388438.5,,,116.2,,,,,,,,-572002.8,,,-1849309,
ESSENTIAL INNOVATIONS TECHNOLOGY CORP,2016,Q1,,,,,,,,,,,,,-54803.5,1182,-1849309,
ESTERLINE TECHNOLOGIES CORP,2010,Q3,,,-365000,,0.2,6.00E+07,29924371.5,29924371.5,,,,,,,,
ESTERLINE TECHNOLOGIES CORP,2011,Q2,83467500,308672500,42987500,303523250,0.2,6.00E+07,30401789.5,30401789.5,,,,48460000,,280856000,912733500,
ESTERLINE TECHNOLOGIES CORP,2011,Q3,,,27803000,108966200,,,,30446073,68218500,,22128800,,38067600,122844600,,30252500
ESTERLINE TECHNOLOGIES CORP,2012,Q1,,,-34745000,,,,,,,,8776600,10555800,,,,30490000
ESTERLINE TECHNOLOGIES CORP,2013,Q1,42400800,142939400,,,,,,,,,,,,,,
ESTERLINE TECHNOLOGIES CORP,2013,Q2,44017600,,,70598200,0.2,6.00E+07,31061224.5,31061224.5,37604750,,,,,,,
ESTERLINE TECHNOLOGIES CORP,2014,Q2,,,,,0.2,6.00E+07,31691663.5,31691663.5,38171375,,,,,,1318581000,
ESTERLINE TECHNOLOGIES CORP,2014,Q3,61743250,,-32148000,,0.2,6.00E+07,31719229.5,,46375875,,43846000,,,,,
ESTERLINE TECHNOLOGIES CORP,2017,Q2,122712000,410433000,,,0.2,,,29601067,39554000,,,,,,1574883500,29631250
ESTERLINE TECHNOLOGIES CORP,2017,Q3,,,,241779500,,,,,,,,47754250,,340558000,1590120000,
ESTERLINE TECHNOLOGIES CORP,2018,Q1,136125500,402612000,,299810500,0.2,6.00E+07,32942297,29851642.5,-34576000,,25920500,,,347633500,1637696500,
ESTERLINE TECHNOLOGIES CORP,2018,Q2,143504500,,-259806500,,0.2,6.00E+07,32948695.33,,,,52736000,,,,1649635000,
ESTERLINE TECHNOLOGIES CORP,2018,Q3,,,,,0.2,6.00E+07,32953225.67,29711085.5,31947750,,78416000,39159500,,332755000,1663546500,29651750
"ETHOS MEDIA NETWORK, INC.",2018,Q1,8423.5,,,,,,,36568801,,,54548.5,489213,-165042,,-3936651.5,30700601.5
"ETHOS MEDIA NETWORK, INC.",2018,Q2,8637.5,,,,,,,,,,,,,124475.5,-3994625,
EUREKA FINANCIAL CORP.,2011,Q3,,,878.5,11133891.75,,,,1261231,965430,,,,,1318592.5,,
EUREKA FINANCIAL CORP.,2012,Q1,,,,10299284.5,,,,,,,,,,1247508.5,10220724,
EUREKA FINANCIAL CORP.,2013,Q2,,,-1539,9568494,0.01,1.00E+07,,1311547,543027.75,,,,,1213195,,1248001
EUREKA FINANCIAL CORP.,2014,Q1,,,,9376944,,,,,,,,,,,12267117.5,
EUREKA FINANCIAL CORP.,2014,Q2,,,,,0.01,1.00E+07,,1251644.5,596389,,,,,,12377803,
EUREKA FINANCIAL CORP.,2014,Q3,,,-248180,,0.01,1.00E+07,,,759188.75,,,,,,12516658,
EUREKA FINANCIAL CORP.,2015,Q3,,,,,0.01,1.00E+07,,1210697,,,,,,,,
"EUROPA ACQUISITION I, INC.",2016,Q1,,,,888,,,1.00E+05,,,,,,,,-117352,
EVOQUA WATER TECHNOLOGIES CORP.,2019,Q1,135569000,247107500,,,0.01,1.00E+09,115032000,113936000,-10839500,,21486500,,,,-172936500,111962000
EVOQUA WATER TECHNOLOGIES CORP.,2019,Q2,,,,71027750,0.01,1.00E+09,115353500,114051000,,,,,,326523000,,
EVOQUA WATER TECHNOLOGIES CORP.,2019,Q3,,,,,,,,,,,,825500,,,,114247500
"EXOLIFESTYLE, INC.",2017,Q3,,,,90723.5,,,,,,,,-1997501,,34972.5,-13115022.5,
"EYE ON MEDIA NETWORK, INC.",2014,Q1,,,,,0.001,9.00E+08,3.00E+06,,,,,,,,,
"EYE ON MEDIA NETWORK, INC.",2014,Q2,,,,27366,,,,26207500,,,,-140213,,,-364896,21727751.75
"EYE ON MEDIA NETWORK, INC.",2014,Q3,,,,33249.5,,7.50E+08,26214000,,,168644,,,,,,
"EYE ON MEDIA NETWORK, INC.",2015,Q2,10464,,,25833.25,,,,,,184866.5,150327.75,,,,,
"EYE ON MEDIA NETWORK, INC.",2017,Q1,7825,,,,,7.50E+08,28576951,28576951,,,,,-205243,,,28349137.5
EZCORP INC,2011,Q2,,,-2708000,,,,,,,,,,,,303753666.7,49393500
EZCORP INC,2012,Q1,,,-1010666.667,10168315.79,,,,,,,,13356200,,30620266.67,,50026500
EZCORP INC,2012,Q2,,,,24170307.69,,,,,27612000,,,,,,,
EZCORP INC,2013,Q1,,,,,,,,,,,2581400,,,,,
EZCORP INC,2013,Q2,,,946666.6667,,,,,,23334200,,4495100,,,42953866.67,,52159500
EZCORP INC,2014,Q1,,,,42487000,,,,,,,,,,,606283000,
EZCORP INC,2014,Q3,,12756333.33,-3159666.667,45187000,,,,,25630750,,,,63741000,,,
EZCORP INC,2015,Q1,,,,52182750,,,,,,,9196500,18914500,,,,
EZCORP INC,2016,Q3,,,,,,,,,-38106750,,,,,,,54397500
EZCORP INC,2017,Q1,,,,,,,,,,,,,10719000,,323390500,54526500
EZCORP INC,2017,Q2,,,,,,,,,-33057500,,,,,,327402000,54556750
EZCORP INC,2017,Q3,,,,69615333.33,,,,,,,,-15989000,,57559333.33,325547000,
EZCORP INC,2018,Q2,,,-40458000,,,,,,17854000,,12288500,,,,354781333.3,
EZCORP INC,2019,Q1,,18459333.33,,,,,,,-2259500,,6285500,,,,381510000,54748000
EZCORP INC,2019,Q2,,,,,,,,,,,,,,68666666.67,,
EZCORP INC,2020,Q2,,12599000,-59507000,233027333.3,,,,,,,,-19272000,79500,,,
F5 NETWORKS INC,2010,Q3,,,-3466000,,0,2.00E+08,79151000,79151000,,,,,,,,
F5 NETWORKS INC,2011,Q2,26003500,127517500,-3936500,,,2.00E+08,80532000,80532000,,,,,,35845000,545343000,80019000
F5 NETWORKS INC,2012,Q1,,176769000,-6597000,,,,,,,,,61077500,,49434000,,79958000
F5 NETWORKS INC,2012,Q3,32766000,179690500,-6127500,,,2.00E+08,79079000,79079000,,,20351000,,191015250,,834855500,79990500
F5 NETWORKS INC,2013,Q1,29623500,197125000,,217504000,,2.00E+08,78644500,,,,7878000,67992500,,,,
F5 NETWORKS INC,2016,Q2,,,-14423000,359473000,,,68559500,,,,27050500,,189710000,,,
F5 NETWORKS INC,2018,Q1,,,-18737500,593182250,,,,,,,,,139725500,119865000,,
FACTSET RESEARCH SYSTEMS INC,2011,Q2,,65097000,-14565000,,0.01,1.00E+08,60605991,46081953,,,,,,80415500,819636000,46700000
FACTSET RESEARCH SYSTEMS INC,2012,Q1,,69918500,-12542000,193382750,,,,,,,,43572500,,80842500,,45695000
FACTSET RESEARCH SYSTEMS INC,2012,Q2,,73231500,,191382250,,,,,72154500,,,,,80107500,,
FACTSET RESEARCH SYSTEMS INC,2012,Q3,,70786000,-17898000,,0.01,133333333.3,53445728.5,45430971.75,86036500,,26498000,,128006250,,718490500,45457750
FACTSET RESEARCH SYSTEMS INC,2013,Q1,,76573000,,,,,,,,,,,,,,
FACTSET RESEARCH SYSTEMS INC,2013,Q2,,,,176760250,0.01,1.50E+08,46015371,44418647.75,66718750,,,,,,,
FACTSET RESEARCH SYSTEMS INC,2014,Q1,,74819000,-25649500,192601000,0.01,1.50E+08,48218108,,58551500,,,50973500,72912500,,,43725000
FACTSET RESEARCH SYSTEMS INC,2014,Q2,,85427000,-23703500,158153666.7,,,,,77443500,,17726000,73969000,,62999000,737885000,43316250
FACTSET RESEARCH SYSTEMS INC,2016,Q1,,,,,,,,,,,,,83784000,64490500,1042528500,
FACTSET RESEARCH SYSTEMS INC,2016,Q3,,,,155155750,0.01,,,41324267.5,118506250,,,,,,,41287250
FACTSET RESEARCH SYSTEMS INC,2017,Q1,,,,,,1.50E+08,,40610598,,,,,88813500,,,40607000
FACTSET RESEARCH SYSTEMS INC,2017,Q2,,114311000,,179460500,0.01,,,40445512.75,89449500,,,,,,1330793000,40379250
FACTSET RESEARCH SYSTEMS INC,2018,Q1,,,-30725000,204589750,,,,,,,,,89708500,99592500,,
FACTSET RESEARCH SYSTEMS INC,2018,Q2,,,-23972000,,0.01,1.50E+08,,,98596000,,24510500,,,,,
FACTSET RESEARCH SYSTEMS INC,2019,Q2,,,,213829250,0.01,1.50E+08,39477537,38560687.75,,,,,149495750,102687000,,
FACTSET RESEARCH SYSTEMS INC,2019,Q3,,,,,0.01,,,,,,,156634000,,,,38458750
FAIR ISAAC CORP,2010,Q3,8556500,,-22788500,165198250,0.01,2.00E+08,88857000,45213500,,,,,,,,
FAIR ISAAC CORP,2011,Q2,12594500,110040000,-17825000,,0.01,2.00E+08,88857000,39853000,,,,,,,958279500,43364000
FAIR ISAAC CORP,2012,Q1,,111137500,-23058500,163439500,,,,,,,,23003000,40854000,33173000,,37978500
FAIR ISAAC CORP,2012,Q3,12576500,108418500,-22846000,,0.01,2.00E+08,88857000,35388000,,,16589000,,72061000,,1049947500,37092250
FAIR ISAAC CORP,2013,Q1,20233500,140377000,,118393750,0.01,2.00E+08,88857000,,,,6750500,26709000,,,,
FAIR ISAAC CORP,2013,Q2,20679000,,-23018500,121136750,0.01,2.00E+08,88857000,35347000,28143000,,13241000,,59467500,44855000,,
FAIR ISAAC CORP,2014,Q1,,,-18905500,,0.01,2.00E+08,88857000,,21506000,,,,,,,
FAIR ISAAC CORP,2014,Q3,,149614000,-14606500,85228750,0.01,2.00E+08,88857000,33820500,40325750,,,,73366250,41217500,,
FAIR ISAAC CORP,2015,Q1,,151209000,,94710250,,,,,,,,,30075000,,,
FAIR ISAAC CORP,2015,Q2,,,,,,,,,,,,27656500,,,,33044750
FAIR ISAAC CORP,2015,Q3,,151299500,,,,,,,41315000,,,,70059000,,1309911500,
FAIR ISAAC CORP,2016,Q3,20474000,,,98427000,0.01,,,,,,,,,,,
FAIR ISAAC CORP,2017,Q1,22684500,,,,,2.00E+08,,,,,,,32880500,,1493855500,31087000
FAIR ISAAC CORP,2017,Q2,20822000,154590000,,,0.01,,,30948500,35861000,,,,,,1506087500,31128500
FAIR ISAAC CORP,2017,Q3,,154025500,-75942500,,,,,,,,,,84455500,,1518701000,31059250
FAIR ISAAC CORP,2018,Q2,21524500,,-60396000,,0.01,2.00E+08,,,49767500,,16665500,,,,1628182000,
FAIR ISAAC CORP,2019,Q1,20319000,257154000,,,0.01,2.00E+08,88857000,29035500,36346000,,7849000,,,,1784527500,29519500
FAIR ISAAC CORP,2019,Q2,,,,83454000,0.01,2.00E+08,88857000,29035500,,,,,68951250,46798500,,
FAIR ISAAC CORP,2020,Q2,24212000,,-92567000,107696000,0.01,2.00E+08,88857000,29013000,,,,69566500,87359000,,,
"FAIRMOUNT BANCORP, INC.",2012,Q1,,,,,,,,,,,,616635,,3183238.5,,439684
"FAIRMOUNT BANCORP, INC.",2012,Q2,,,,,,,,,711980.5,,,,,,,
"FAIRMOUNT BANCORP, INC.",2012,Q3,,,195823,,,,,,,,,501747,,3011659.5,8401714,
"FAIRMOUNT BANCORP, INC.",2013,Q2,,,,,0.01,4.00E+06,500314,484839,357237.5,,,,,,,
"FAIRMOUNT BANCORP, INC.",2014,Q1,,,75398.5,,0.01,4.00E+06,500314,,81639,,,,,,,447575.5
FAIRWIND ENERGY INC.,2015,Q1,,,,78383,,,,,,,,,-54838.5,,,
FAMILY DOLLAR STORES INC,2011,Q2,639890500,,-8148500,,0.1,6.00E+08,146863752.5,126690943,,,,,,1129374000,1743606000,131621
"FBC HOLDING, INC.",2012,Q3,5085,,,,,4.00E+08,186576260,186576260,,,1062,,,,,
"FBC HOLDING, INC.",2013,Q1,,,,3400.2,0.001,5.00E+09,2433881093,2433881093,,,354,,,,,
FEMALE HEALTH CO,2011,Q3,,,-581519,,,,,,,,334515,,686237.5,2240796,,27176778
FEMALE HEALTH CO,2012,Q2,912921,3385933.5,,4012851.5,,,,,,,,,,,,
FEMALE HEALTH CO,2012,Q3,1477928.5,3526740.5,-581519,,,,,,,,345651.5,,,2134577.5,-43380455.5,27417188.5
FEMALE HEALTH CO,2013,Q1,,,,4619113.25,,,,,,,121666.5,,,,,
FEMALE HEALTH CO,2014,Q1,,,-581519,,,,,,,,,,,,,
FEMALE HEALTH CO,2014,Q3,1058707,3890866.5,-581519,7572640,,,,,,,,,3892908,,,
FEMALE HEALTH CO,2015,Q1,,4389850,,6819602.5,,,,,,,,,1518742.5,,,
FEMALE HEALTH CO,2015,Q2,1301210.5,7708063,,5898442.75,,,,,,,269139,,,,,
FEMALE HEALTH CO,2015,Q3,,8639542.5,,,,,,,,,,,3436264.25,,-30520243.5,
FEMALE HEALTH CO,2016,Q3,,,,,,,,,,,,,,,,28590781.25
FEMALE HEALTH CO,2017,Q1,983578.5,,,,,,,,,,,,258932.5,,,29804756
FEMALE HEALTH CO,2017,Q2,,9042875,,,,,,,,,,,,,-29222626.5,29814341.5
FIDELITY & GUARANTY LIFE,2014,Q2,,,194200000,1038725000,,,,,167950000,,,,,,535200000,51481794.75
FIDELITY & GUARANTY LIFE,2014,Q3,,,257750000,1020050000,,5.00E+08,52718706,,94975000,,,,168375000,,,
FIDELITY & GUARANTY LIFE,2015,Q1,,,,773900000,0.01,,,,,,,,49750000,,,
FIDELITY & GUARANTY LIFE,2015,Q2,,,,,,,,,,,,,,,,57029953.75
FIDELITY & GUARANTY LIFE,2016,Q1,,,,,,,,,,,,,,,7.32E+08,58251293.5
FIDELITY & GUARANTY LIFE,2016,Q2,,,65500000,605750000,0.01,5.00E+08,58917609.5,58407203.17,59750000,,,,34500000,,734500000,
FIDELITY & GUARANTY LIFE,2016,Q3,,,,612750000,,,,,,,,,,,,
FIDELITY & GUARANTY LIFE,2017,Q2,,,,,0.01,5.00E+08,,58475822.17,,,,,,,,
FIDELITY & GUARANTY LIFE,2017,Q3,,,,7.21E+08,0.01,,,,,,,,,,8.67E+08,
FIDELITY BANCORP INC,2012,Q1,,,,32246250,,,,,,,,215000,,9644500,9789000,
FIDELITY BANCORP INC,2012,Q3,,,-1491000,,0.01,1.00E+07,3676401,,1292500,,,,,,9770500,3059000
"FINANCIAL GRAVITY COMPANIES, INC.",2017,Q1,,82824.5,,498290.5,,,,,,,31921.5,,-310439.5,139006.5,,
"FINANCIAL GRAVITY COMPANIES, INC.",2017,Q2,,162294,,,,,,,,,,,,137968.5,-3251629,
"FINANCIAL GRAVITY COMPANIES, INC.",2019,Q2,,,,,,,,,,,,,-554078.25,143669,-5835765.5,
FINISHING TOUCHES HOME GOODS INC.,2011,Q3,,,,,,,,9.00E+06,,,,,-26770.6,962,,
FINISHING TOUCHES HOME GOODS INC.,2012,Q1,23187,,,,,,,9.00E+06,,,,-22330,-13813,1763.5,,
FINTECH ACQUISITION CORP,2016,Q1,,,,77703.5,,,4728301,,,,,,,,-311230.5,
"FIREMANS CONTRACTORS, INC.",2013,Q2,279248,,,,0.001,9.50E+08,224483794.5,224483794.5,,5591.25,,,-209000,50376,,
FIRST AMERICAN GROUP INC.,2011,Q3,,,,,,,,2110725,,,,,,,,1625754.4
FIRST AMERICAN GROUP INC.,2013,Q1,,,,,0.001,5.00E+07,2521264,2521264,,,,,,,,
FIRST AMERICAN GROUP INC.,2013,Q3,,,,,,,,,,,,-32576.33333,,,,
FIRST AMERICAN GROUP INC.,2014,Q2,,,,,,,,,,,,-30314.66667,,,,
FIRST AMERICAN GROUP INC.,2014,Q3,,,,14760,,2.50E+08,126063200,,,,,,,,,
FIRST AMERICAN GROUP INC.,2015,Q1,,,,3495.5,,,,,,,,,,,,
FIRST AMERICAN GROUP INC.,2015,Q2,,,,2215.25,,,,,,,,,,,,
FIRST FINANCIAL HOLDINGS INC /DE/,2012,Q2,,,,64566250,,,,,89000,,,,,,,
"FIRST GUARANTY BANCSHARES, INC.",2015,Q3,,,,,,,6293262,,10122600,,,,5923333.333,19668000,53677333.33,
"FIRST GUARANTY BANCSHARES, INC.",2017,Q2,,,,,,,,,5034500,,,,,,60172000,7609194
FIRST HARTFORD CORP,2014,Q2,600398.5,,,,,,,,,,,,3361476.75,,-22418114.5,
"FIRST LEVEL ENTERTAINMENT GROUP, INC.",2015,Q3,,,,,,,,,,,,,-391779.5,,-2677423,
"FIRST LEVEL ENTERTAINMENT GROUP, INC.",2016,Q2,,,,879.75,,,4.00E+07,,,,,,-211644.25,,,
"FIRST LEVEL ENTERTAINMENT GROUP, INC.",2016,Q3,137500,,,1331.25,0.001,,,,,,,,,,,
"FIRST LEVEL ENTERTAINMENT GROUP, INC.",2017,Q1,,,,,,5.00E+08,42219990,42219990,,,,,-16980,,-3138528.5,
"FIRST LEVEL ENTERTAINMENT GROUP, INC.",2017,Q2,,,,170.5,0.001,,,42219990,,,,,,,-3146823.5,
"FIRST POWER & LIGHT, INC.",2014,Q1,,,,,,,,,,,47340.5,,,,,
FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY,2012,Q2,,,,6401750,,,,,,,,,,,,
FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY,2013,Q1,,,,12693750,,8.00E+06,6993152,,,,,,,,,
FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY,2013,Q2,,,-85000,12209750,,8.00E+06,6993152,,2481000,,,,6591500,,,6942000
FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY,2014,Q1,,,710500,,,8.00E+06,6993152,,5669500,,,,,,,
FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY,2014,Q3,,,,,,8.00E+06,6993152,,,,,4182250,,,,6932750
FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY,2015,Q3,,,,,,,6993152,,3613250,,,,7631500,,,
FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY,2016,Q2,,,,,,,,,,,,,5344000,,,6787500
FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY,2017,Q1,,,,,,8.00E+06,,,,,,,,,,
FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY,2017,Q2,,,,,,,6993152,,,,,,,,,6800250
FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY,2018,Q3,,,,11499500,,,,,7954500,,,7053500,7539750,,,6858250
FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY,2019,Q1,,,,,,8.00E+06,6993152,,-249000,,,51000,4673500,,,
FIRST SAVINGS FINANCIAL GROUP INC,2011,Q3,,,2886500,10277500,,,2542042,,2227750,774000,,,,9836000,,
FIRST SAVINGS FINANCIAL GROUP INC,2012,Q2,,,,16421500,,,,,,,,,,10393000,,2145488750
FIRST SAVINGS FINANCIAL GROUP INC,2014,Q1,,,1299500,,0.01,2.00E+07,2542042,,948000,,,1022000,,,,
FIRST SAVINGS FINANCIAL GROUP INC,2014,Q2,,,1829000,26745250,,,,,2184500,,,1864000,,,43891500,2153041.75
FIRST SAVINGS FINANCIAL GROUP INC,2015,Q2,,,4552000,,,,,,3072250,,,,,,,
FIRST SAVINGS FINANCIAL GROUP INC,2015,Q3,,,,,,,2542042,,3417750,,,,,14111500,49205000,
FIRST SAVINGS FINANCIAL GROUP INC,2016,Q1,,,,23682750,,,2542042,,1622500,,,,,,53234500,
FIRST SAVINGS FINANCIAL GROUP INC,2017,Q3,,,,30125500,,,,,,,,4187250,,11556500,62528500,
FIRST SAVINGS FINANCIAL GROUP INC,2018,Q1,,,3650000,32450750,,,,,,,,,,11212500,,
FIRST SAVINGS FINANCIAL GROUP INC,2019,Q1,,,,,0.01,2.00E+07,2562321.5,2298165.5,3355500,392000,,,,,77816000,2256460.5
FIRST SAVINGS FINANCIAL GROUP INC,2019,Q2,,,,,0.01,2.00E+07,2563256.5,2318428.5,,,,,,15750500,,
"FIRST SAVINGS FINANCIAL GROUP, INC.",2020,Q2,,,3884000,36687750,0.01,2.00E+07,2566724,2362776.5,,587250,,3045500,,,,
FIRST SOCIAL NETWORX CORP.,2012,Q2,,,,21178,,,,,,,,,,,,
FIRST SOCIAL NETWORX CORP.,2012,Q3,,,,,1.00E-04,2.50E+08,10250000,10250000,,,,,,,-14675,
FIRST SOCIAL NETWORX CORP.,2013,Q1,,,,,1.00E-04,2.50E+08,11500000,11500000,,,,,,,,
FIRST TITAN CORP.,2011,Q3,,,,28632,,,,10500000,,,,,,,,
FIRST TITAN CORP.,2012,Q3,,,,,,2.50E+08,12850000,12850000,,,,,,,-503105.5,
FIRST TITAN CORP.,2013,Q1,,,,,1.00E-04,2.50E+08,5921415,5921415,,,5004,,,,,
FIRST TITAN CORP.,2014,Q1,,,,,1.00E-04,2.50E+08,11988730,,,,,,,,,
FIRST TITAN CORP.,2015,Q3,,13798,,,,,313452,,-644727.75,,,,-304845.5,,-3755011.5,
FIVE OAKS INVESTMENT CORP.,2017,Q2,,,,,,,,17539258,-6944957.5,,,,,,547071.5,
"FLAMERET, INC.",2012,Q3,,,,,,5.00E+08,121110620,121110620,,,,,,,,
FLANIGANS ENTERPRISES INC,2012,Q2,,,,5567000,,,,,,,,,,,,
FLANIGANS ENTERPRISES INC,2013,Q1,,,,5770000,0.1,5.00E+06,4197642,,,,589500,,,,,
FLANIGANS ENTERPRISES INC,2013,Q2,,,,5876750,0.1,5.00E+06,4197642,,,,1206000,,1583000,33306500,,
FLANIGANS ENTERPRISES INC,2014,Q1,,,,,0.1,5.00E+06,4197642,,,,,,,,,
FLANIGANS ENTERPRISES INC,2014,Q3,,,,,0.1,5.00E+06,4197642,,,,1835500,1393750,,,,
FLANIGANS ENTERPRISES INC,2015,Q3,,,,,,,4197642,,,,,,3702250,36675000,24069000,
FLANIGANS ENTERPRISES INC,2016,Q2,,,,,,,,,,,1267500,,2835750,38142000,,
FLANIGANS ENTERPRISES INC,2016,Q3,,,,9272500,,,,,,,,,,,,
FLANIGANS ENTERPRISES INC,2017,Q1,,,,,,5.00E+06,,,,,,,1412000,,,
FLANIGANS ENTERPRISES INC,2017,Q2,,,,,,,4197642,,,,,,,39245000,29420000,
FLANIGANS ENTERPRISES INC,2018,Q3,,,,10961500,,,,,,,,1875000,3756750,42027500,32696000,
FLANIGANS ENTERPRISES INC,2019,Q1,,,,,0.1,5.00E+06,4197642,,,,673000,,,,34981500,
FLOWERS FOODS INC,2010,Q3,97489000,,-58624000,16385250,0.01,5.00E+08,101659924,,,,,,,,,
FLOWERS FOODS INC,2011,Q2,111999500,,-35881500,,0.01,5.00E+08,101659924,,,,,,,,515230500,90865500
FLOWERS FOODS INC,2014,Q2,154609500,,-85617500,11213000,,,,,,,36740500,,,434272500,754186000,208149000
FLOWERS FOODS INC,2017,Q2,178815000,,,,,,,,61332000,,,,,,923786500,209892500
FLOWERS FOODS INC,2018,Q2,195513500,,-81876000,,0.01,5.00E+08,,,,,45688500,,,,936563500,
FONU2 INC.,2012,Q2,,,,,,,,,,,,,,626535,,
FONU2 INC.,2013,Q2,,,,,,,,,,,,,,12397,,36559858.75
FONU2 INC.,2014,Q2,,,,24842,,,,,,,,-433163.75,,,,
FORESTAR GROUP INC.,2018,Q2,,,,,1,2.00E+08,,,,,1390500,,,,58563000,
FORESTAR GROUP INC.,2019,Q2,,,,,,,,,,,,3725000,,2050000,131800000,41950790.25
